Portuguese Verb,eu,tu,"você, ela, ele",nós,"vocês, elas, eles",English Translation
abrir,abro,abres,abre,abrimos,abrem,to open
acabar,acabo,acabas,acaba,acabamos,acabam,to finish
acelerar,acelero,aceleras,acelera,aceleramos,aceleram,to accelerate
acender,acendo,acendes,acende,acendemos,acendem,to turn on (light) / to light
achar,acho,achas,acha,achamos,acham,to think / to find
acordar,acordo,acordas,acorda,acordamos,acordam,to wake up
adorar,adoro,adoras,adora,adoramos,adoram,to adore / to love
agendar,agendo,agendas,agenda,agendamos,agendam,to schedule
agradecer,agradeço,agradeces,agradece,agradecemos,agradecem,to thank
ajudar,ajudo,ajudas,ajuda,ajudamos,ajudam,to help
almoçar,almoço,almoças,almoça,almoçamos,almoçam,to have lunch
amar,amo,amas,ama,amamos,amam,to love
andar,ando,andas,anda,andamos,andam,to walk
apagar,apago,apagas,apaga,apagamos,apagam,to erase / to turn off
apanhar,apanho,apanhas,apanha,apanhamos,apanham,to catch (transport/objects)
aprender,aprendo,aprendes,aprende,aprendemos,aprendem,to learn
apresentar,apresento,apresentas,apresenta,apresentamos,apresentam,to present / to introduce
arrumar,arrumo,arrumas,arruma,arrumamos,arrumam,to tidy up / to pack
aspirar,aspiro,aspiras,aspira,aspiramos,aspiram,to vacuum
assar,asso,assas,assa,assamos,assam,to bake / to roast
assinar,assino,assinas,assina,assinamos,assinam,to sign
assistir,assisto,assistes,assiste,assistimos,assistem,to watch / to attend
bater,bato,bates,bate,batemos,batem,to hit / to beat
beber,bebo,bebes,bebe,bebemos,bebem,to drink
beijar,beijo,beijas,beija,beijamos,beijam,to kiss
brincar,brinco,brincas,brinca,brincamos,brincam,to play / to joke
buscar,busco,buscas,busca,buscamos,buscam,to fetch
calçar,calço,calças,calça,calçamos,calçam,to put on shoes
caminhar,caminho,caminhas,caminha,caminhamos,caminham,to walk / to hike
cancelar,cancelo,cancelas,cancela,cancelamos,cancelam,to cancel
cantar,canto,cantas,canta,cantamos,cantam,to sing
casar,caso,casas,casa,casamos,casam,to marry
chamar,chamo,chamas,chama,chamamos,chamam,to call
chegar,chego,chegas,chega,chegamos,chegam,to arrive
chorar,choro,choras,chora,choramos,choram,to cry
cobrar,cobro,cobras,cobra,cobramos,cobram,to charge
colocar,coloco,colocas,coloca,colocamos,colocam,to put / to place
combinar,combino,combinas,combina,combinamos,combinam,to arrange / to match
começar,começo,começas,começa,começamos,começam,to begin / to start
comer,como,comes,come,comemos,comem,to eat
comprar,compro,compras,compra,compramos,compram,to buy
compreender,compreendo,compreendes,compreende,compreendemos,compreendem,to understand
concordar,concordo,concordas,concorda,concordamos,concordam,to agree
conduzir,conduzo,conduzes,conduz,conduzimos,conduzem,to drive
conhecer,conheço,conheces,conhece,conhecemos,conhecem,to know (someone) / to meet
conseguir,consigo,consegues,consegue,conseguimos,conseguem,to manage / to be able to
consertar,conserto,consertas,conserta,consertamos,consertam,to fix / to repair
contar,conto,contas,conta,contamos,contam,to count / to tell
continuar,continuo,continuas,continua,continuamos,continuam,to continue
conversar,converso,conversas,conversa,conversamos,conversam,to converse / to chat
convidar,convido,convidas,convida,convidamos,convidam,to invite
cortar,corto,cortas,corta,cortamos,cortam,to cut
cozinhar,cozinho,cozinhas,cozinha,cozinhamos,cozinham,to cook
criar,crio,crias,cria,criamos,criam,to create
dançar,danço,danças,dança,dançamos,dançam,to dance
debater,debato,debates,debate,debatemos,debatem,to debate
deitar,deito,deitas,deita,deitamos,deitam,to lay down / to throw away
deixar,deixo,deixas,deixa,deixamos,deixam,to leave / to let
descansar,descanso,descansas,descansa,descansamos,descansam,to rest
descer,desço,desces,desce,descemos,descem,to go down / to get off
desculpar,desculpo,desculpas,desculpa,desculpamos,desculpam,to apologize / to excuse
desenhar,desenho,desenhas,desenha,desenhamos,desenham,to draw
desejar,desejo,desejas,deseja,desejamos,desejam,to wish / to desire
despertar,desperto,despertas,desperta,despertamos,despertam,to awaken
despir,dispo,despes,despe,despimos,despem,to undress
dever,devo,deves,deve,devemos,devem,to owe / must
digitalizar,digitalizo,digitalizas,digitaliza,digitalizamos,digitalizam,to scan
digitar,digito,digitas,digita,digitamos,digitam,to type
ditar,dito,ditas,dita,ditamos,ditam,to dictate
dobrar,dobro,dobras,dobra,dobramos,dobram,to fold
dormir,durmo,dormes,dorme,dormimos,dormem,to sleep
embarcar,embarco,embarcas,embarca,embarcamos,embarcam,to board
ensinar,ensino,ensinas,ensina,ensinamos,ensinam,to teach
entrar,entro,entras,entra,entramos,entram,to enter
entregar,entrego,entregas,entrega,entregamos,entregam,to deliver
enviar,envio,envias,envia,enviamos,enviam,to send
escovar,escovo,escovas,escova,escovamos,escovam,to brush
escrever,escrevo,escreves,escreve,escrevemos,escrevem,to write
escutar,escuto,escutas,escuta,escutamos,escutam,to listen
esperar,espero,esperas,espera,esperamos,esperam,to wait / to hope
estacionar,estaciono,estacionas,estaciona,estacionamos,estacionam,to park
estender,estendo,estendes,estende,estendemos,estendem,to hang out (laundry)
estudar,estudo,estudas,estuda,estudamos,estudam,to study
explicar,explico,explicas,explica,explicamos,explicam,to explain
falar,falo,falas,fala,falamos,falam,to speak / to talk
faturar,faturo,faturas,fatura,faturamos,faturam,to invoice
fazer,faço,fazes,faz,fazemos,fazem,to do / to make
fechar,fecho,fechas,fecha,fechamos,fecham,to close
ferver,fervo,ferves,ferve,fervemos,fervem,to boil
ficar,fico,ficas,fica,ficamos,ficam,to stay / to remain
fumar,fumo,fumas,fuma,fumamos,fumam,to smoke
funcionar,funciono,funcionas,funciona,funcionamos,funcionam,to function / to work
ganhar,ganho,ganhas,ganha,ganhamos,ganham,to win / to earn
gastar,gasto,gastas,gasta,gastamos,gastam,to spend
gostar,gosto,gostas,gosta,gostamos,gostam,to like
gravar,gravo,gravas,grava,gravamos,gravam,to record
gritar,grito,gritas,grita,gritamos,gritam,to shout / to yell
imprimir,imprimo,imprimes,imprime,imprimimos,imprimem,to print
ir,vou,vais,vai,vamos,vão,to go
jantar,janto,jantas,janta,jantamos,jantam,to have dinner
lanchar,lancho,lanchas,lancha,lanchamos,lancham,to have a snack
lavar,lavo,lavas,lava,lavamos,lavam,to wash
ler,leio,lês,lê,lemos,leem,to read
levantar,levanto,levantas,levanta,levantamos,levantam,to raise / to get up
levar,levo,levas,leva,levamos,levam,to take / to carry
ligar,ligo,ligas,liga,ligamos,ligam,to connect / to turn on / to call
limpar,limpo,limpas,limpa,limpamos,limpam,to clean
mandar,mando,mandas,manda,mandamos,mandam,to send / to order
maquilhar,maquilho,maquilhas,maquilha,maquilhamos,maquilham,to put on makeup
marcar,marco,marcas,marca,marcamos,marcam,to mark / to schedule
meter,meto,metes,mete,metemos,metem,to put / to insert
morar,moro,moras,mora,moramos,moram,to live / to reside
mostrar,mostro,mostras,mostra,mostramos,mostram,to show
mudar,mudo,mudas,muda,mudamos,mudam,to change / to move
nadar,nado,nadas,nada,nadamos,nadam,to swim
necessitar,necessito,necessitas,necessita,necessitamos,necessitam,to need
negociar,negocio,negocias,negocia,negociamos,negociam,to negotiate
oferecer,ofereço,ofereces,oferece,oferecemos,oferecem,to offer / to give
olhar,olho,olhas,olha,olhamos,olham,to look
organizar,organizo,organizas,organiza,organizamos,organizam,to organize
ouvir,ouço,ouves,ouve,ouvimos,ouvem,to hear
pagar,pago,pagas,paga,pagamos,pagam,to pay
parar,paro,paras,para,paramos,param,to stop
passar,passo,passas,passa,passamos,passam,to pass / to iron
pedalar,pedalo,pedalas,pedala,pedalamos,pedalam,to pedal / to cycle
pedir,peço,pedes,pede,pedimos,pedem,to ask for / to request
pensar,penso,pensas,pensa,pensamos,pensam,to think
pentear,penteio,penteias,penteia,penteamos,penteiam,to comb
perguntar,pergunto,perguntas,pergunta,perguntamos,perguntam,to ask
pintar,pinto,pintas,pinta,pintamos,pintam,to paint
planear,planeio,planeias,planeia,planeamos,planeiam,to plan
precisar,preciso,precisas,precisa,precisamos,precisam,to need
preparar,preparo,preparas,prepara,preparamos,preparam,to prepare
procurar,procuro,procuras,procura,procuramos,procuram,to look for / to search
provar,provo,provas,prova,provamos,provam,to taste / to prove
quebrar,quebro,quebras,quebra,quebramos,quebram,to break
receber,recebo,recebes,recebe,recebemos,recebem,to receive
recusar,recuso,recusas,recusa,recusamos,recusam,to refuse
relaxar,relaxo,relaxas,relaxa,relaxamos,relaxam,to relax
responder,respondo,respondes,responde,respondemos,respondem,to answer / to respond
reunir,reúno,reúnes,reúne,reunimos,reúnem,to gather / to meet
sair,saio,sais,sai,saímos,saem,to go out / to leave
saltar,salto,saltas,salta,saltamos,saltam,to jump
subir,subo,sobes,sobe,subimos,sobem,to go up / to get on
telefonar,telefono,telefonas,telefona,telefonamos,telefonam,to call (on the phone)
tentar,tento,tentas,tenta,tentamos,tentam,to try
tomar,tomo,tomas,toma,tomamos,tomam,to take (a shower/breakfast)
trabalhar,trabalho,trabalhas,trabalha,trabalhamos,trabalham,to work
usar,uso,usas,usa,usamos,usam,to use
vender,vendo,vendes,vende,vendemos,vendem,to sell
ver,vejo,vês,vê,vemos,veem,to see
vestir,visto,vestes,veste,vestimos,vestem,to get dressed / to wear
